Project Name,Project Year,Project Price,Project Timeline,Project Team Size,Project Team On-site work from home arrangement (%),Project Geographic Scope,Project Status,Updated Project Status
Beta Analytics,2019,527539.11,6 months,8,70,Region,Failed,Failed (high probability due to duration)
Alpha System 1,2018,503688.74,6 months,9,20.6,Region,Successful,Successful (but high risk)
Alpha Platform,2021,713488.51,6 months,6,17.7,City,Failed,Failed (high probability due to duration)
Alpha Integration,2023,293411.02,12 months,6,56.2,Institution,Failed,Failed (high probability due to duration)
Delta Expansion,2016,1717869.56,12 months,6,23,City,Failed,Failed (high probability due to duration)
Orion System,2024,1288207.66,10 months,7,31.6,Town,Failed,Failed (high probability due to duration)
Alpha Upgrade,2015,1619839.31,5 months,6,27,Nationwide,Failed,Failed (high probability due to duration)
Vertex Platform,2019,322279.12,12 months,7,81.8,Region,Successful,Successful (but high risk)
Delta Platform,2023,1012355.88,15 months,3,73.4,Region,Failed,Failed (high probability due to duration)
Apex Optimization,2024,1992436.69,20 months,10,64.4,Institution,Successful,Successful (but high risk)
Nova System,2019,897792.24,11 months,12,50.6,Institution,Failed,Failed (high probability due to duration)
Horizon Upgrade,2017,779132.01,19 months,19,35.9,Office,Failed,Failed (high probability due to duration)
Nova Expansion,2018,162954.07,17 months,8,75.3,Barrangay,Successful,Successful (but high risk)
Vertex Platform,2019,1078963.89,9 months,13,67,Region,Successful,Successful (but high risk)
Vertex Integration,2016,533415.95,3 months,4,57.1,Office,Failed,Failed\
Alpha Upgrade,2016,1815569.03,13 months,5,63.5,Town,Failed,Failed (high probability due to duration)
Quantum Integration,2018,1580007.88,14 months,7,38.3,Region,Failed,Failed (high probability due to duration)
Alpha System 2,2015,835111.5,6 months,4,52.9,Barrangay,Failed,Failed (high probability due to duration)
Gamma Expansion,2022,537122.57,13 months,18,17.8,Office,Failed,Failed (high probability due to duration)
Delta Platform,2021,997000.19,15 months,12,40.3,Region,Successful,Successful (but high risk)
Vertex Expansion,2021,1408353.43,11 months,8,22.4,Municipality,Failed,Failed (high probability due to duration)
Alpha Analytics,2020,161472.28,19 months,18,22.6,Institution,Failed,Failed (high probability due to duration)
Beta System,2025,1730547.44,21 months,1,59.6,Region,Failed,Failed (high probability due to duration)
Orion Upgrade,2025,1446574.01,15 months,5,46.6,Institution,Successful,Successful (but high risk)
Vertex System,2016,1098387.09,21 months,11,80.3,City,Failed,Failed (high probability due to duration)
Gamma Integration,2023,1421902.85,23 months,9,34,Institution,Failed,Failed (high probability due to duration)
Orion System,2016,1497712.53,12 months,6,26.3,Municipality,Successful,Successful (but high risk)
Orion Analytics,2016,1286854.67,15 months,3,61,Municipality,Successful,Successful (but high risk)
Vertex Optimization,2023,68855.91,7 months,6,56.6,Barrangay,Failed,Failed (high probability due to duration)
Gamma Analytics,2019,761070.45,30 months,13,64.6,Institution,Failed,Failed (high probability due to duration)
Horizon Optimization,2024,1511481.34,13 months,12,80.5,Office,Failed,Failed (high probability due to duration)
Nova Optimization,2025,1734924.86,12 months,2,40.6,Office,Failed,Failed (high probability due to duration)
Delta Upgrade,2022,731833.93,9 months,4,41.9,Municipality,Failed,Failed (high probability due to duration)
Orion Initiative,2025,1043341.07,20 months,1,19.2,Municipality,Failed,Failed (high probability due to duration)
Quantum Expansion,2015,261384.97,13 months,9,19.3,Town,Failed,Failed (high probability due to duration)
Alpha Optimization,2015,1063844.68,3 months,4,39.1,Institution,Failed,Failed
Quantum Initiative,2025,1703629.8,12 months,7,36.1,Municipality,Failed,Failed (high probability due to duration)
Delta Optimization,2025,1883709.16,8 months,5,42.5,Office,Failed,Failed (high probability due to duration)
Orion Upgrade,2021,1582229.71,13 months,8,64.1,Nationwide,Failed,Failed (high probability due to duration)
Beta Expansion,2023,1344514.98,5 months,13,63.8,Town,Failed,Failed (high probability due to duration)
Gamma Analytics,2015,527442.96,5 months,4,67.5,Region,Failed,Failed (high probability due to duration)
Apex Upgrade,2017,1329313.12,6 months,13,24.1,Nationwide,Successful,Successful (but high risk)
Horizon Upgrade,2016,940100.56,7 months,9,57.6,Nationwide,Failed,Failed (high probability due to duration)
Horizon Integration,2017,1500128.11,11 months,20,32.2,Nationwide,Failed,Failed (high probability due to duration)
Orion Integration,2016,1441412.48,13 months,9,16.4,Barrangay,Successful,Successful (but high risk)
Apex Platform,2018,175246.26,20 months,1,26.5,Region,Failed,Failed (high probability due to duration)
Quantum Analytics,2024,791743.01,14 months,7,78.3,Region,Successful,Successful (but high risk)
Vertex Upgrade,2019,899880.15,13 months,7,67.9,Nationwide,Failed,Failed (high probability due to duration)
Quantum Analytics,2021,1204190.91,5 months,3,79.3,Barrangay,Failed,Failed (high probability due to duration)
Orion Optimization,2020,462737.55,15 months,7,30.2,Institution,Failed,Failed (high probability due to duration)
Alpha Analytics,2020,487233.22,23 months,1,86,Town,Failed,Failed (high probability due to duration)
Quantum Platform,2018,296130.9,21 months,17,66,City,Failed,Failed (high probability due to duration)
Quantum System,2017,1931205.51,3 months,19,64.2,Region,Failed,Failed
Delta System,2024,1396698.11,6 months,5,78,Institution,Failed,Failed (high probability due to duration)
Nova Optimization,2025,772613.21,13 months,7,75.8,Institution,Failed,Failed (high probability due to duration)
Nova Integration,2017,899199.93,12 months,9,72,Nationwide,Failed,Failed (high probability due to duration)
Quantum Expansion,2020,1710840.66,11 months,8,29.5,Nationwide,Successful,Successful (but high risk)
Nova Analytics,2022,1709358.03,10 months,5,37.2,Municipality,Failed,Failed (high probability due to duration)
Horizon Upgrade,2016,520644.3,9 months,17,61.7,Nationwide,Successful,Successful (but high risk)
Alpha System,2019,482112.98,11 months,6,47.9,City,Failed,Failed (high probability due to duration)
Horizon Initiative,2020,1420567.14,12 months,4,35.2,Barrangay,Failed,Failed (high probability due to duration)
Delta Integration,2019,1462940.75,12 months,2,76.6,Municipality,Failed,Failed (high probability due to duration)
Nova Platform,2019,77589.32,12 months,1,54.3,Barrangay,Failed,Failed (high probability due to duration)
Beta Analytics,2024,604461.69,13 months,1,30.2,Nationwide,Failed,Failed (high probability due to duration)
Beta Optimization,2022,194460.23,3 months,5,16.8,Town,Failed,Failed
Horizon Optimization,2024,1212447.35,19 months,8,33.8,Region,Failed,Failed (high probability due to duration)
Quantum Analytics,2024,1922212.12,12 months,5,62.8,Barrangay,Failed,Failed (high probability due to duration)
Gamma System,2017,55217.66,15 months,1,28.5,Municipality,Successful,Successful (but high risk)
Beta Upgrade,2019,1586264.65,24 months,13,44,Town,Failed,Failed (high probability due to duration)
Orion Platform,2016,166294.18,12 months,5,45.1,Nationwide,Failed,Failed (high probability due to duration)
Apex Expansion,2023,1102964.05,12 months,7,68.8,Municipality,Failed,Failed (high probability due to duration)
Beta Upgrade,2025,1680119.3,16 months,20,75.7,Office,Failed,Failed (high probability due to duration)
Vertex Integration,2019,403903.84,50 months,11,47.6,Region,Failed,Failed (high probability due to duration)
Nova System,2017,693117.14,12 months,7,75.1,Office,Failed,Failed (high probability due to duration)
Beta Initiative,2019,680383.88,12 months,10,62.6,Nationwide,Failed,Failed (high probability due to duration)
Alpha Upgrade,2023,755469.75,3 months,1,26.3,Barrangay,Failed,Failed
Vertex Integration,2016,106295.41,10 months,5,54.1,Region,Failed,Failed (high probability due to duration)
Delta System,2022,1896768.45,7 months,5,50.7,Municipality,Failed,Failed (high probability due to duration)
Vertex Integration,2018,940733.62,9 months,18,69.7,Barrangay,Failed,Failed (high probability due to duration)
Orion Optimization,2020,1871784.37,3 months,5,77,Nationwide,Failed,Failed
Vertex Integration,2020,698257.91,20 months,6,79.6,Town,Failed,Failed (high probability due to duration)
Delta Optimization,2015,670443.84,15 months,3,49.6,Office,Failed,Failed (high probability due to duration)
Horizon Initiative,2016,1754671.23,19 months,10,67.8,Region,Failed,Failed (high probability due to duration)
Beta Integration,2019,710194.41,23 months,6,78.2,Region,Failed,Failed (high probability due to duration)
Vertex Analytics,2024,183420.46,20 months,11,44.7,Institution,Failed,Failed (high probability due to duration)
Vertex Platform,2019,1811676.92,20 months,6,44.5,Town,Failed,Failed (high probability due to duration)
Quantum Platform,2017,391385.24,15 months,4,49.8,Barrangay,Failed,Failed (high probability due to duration)
Vertex Expansion,2022,547887.08,17 months,20,53.7,Institution,Failed,Failed (high probability due to duration)
Nova Expansion,2025,1925956.69,17 months,13,89.9,Nationwide,Successful,Successful (but high risk)
Delta Optimization,2024,749970.36,12 months,7,32,Office,Successful,Successful (but high risk)
Orion Upgrade,2024,1613767.32,9 months,3,60.3,Office,Successful,Successful (but high risk)
Vertex Analytics,2024,761479.4,12 months,7,24.1,Barrangay,Failed,Failed (high probability due to duration)
Horizon Expansion,2017,551091.66,12 months,14,69.7,City,Failed,Failed (high probability due to duration)
Vertex System,2017,1520595.41,24 months,7,87.4,City,Failed,Failed (high probability due to duration)
Apex Analytics,2019,1096316,24 months,5,56.8,City,Successful,Successful (but high risk)
Delta Integration,2015,1258116.39,34 months,13,61.8,Nationwide,Failed,Failed (high probability due to duration)
Apex System,2017,138426.28,18 months,4,81,Barrangay,Failed,Failed (high probability due to duration)
Vertex Initiative,2025,1901292.5,20 months,3,80.8,Institution,Failed,Failed (high probability due to duration)
Quantum Optimization,2019,113796.76,17 months,4,78.4,Institution,Failed,Failed (high probability due to duration)
Horizon Initiative,2015,826372.3,6 months,17,17.3,Town,Failed,Failed (high probability due to duration)